,name,osm_id,access,access:conditional,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,alt_name,amenity,artist_name,beds,building,building:colour,building:levels,building:levels:underground,building:material,building:part,building:units,capacity,check_date,check_date:opening_hours,club,drinking_water,ele,emergency,fee,fountain,gnis:feature_id,healthcare,healthcare:speciality,height,internet_access,internet_access:fee,layer,leisure,lit,man_made,maxheight,maxstay,name:en,name:etymology:wikidata,name:etymology:wikipedia,natural,note,official_name,old_name,opening_hours,operator,operator:type,orientation,parking,phone,ref:isil,roof:angle,roof:colour,roof:levels,roof:material,roof:shape,smoking,source,sport,start_date,surface,toilets:wheelchair,tourism,tower:construction,tower:type,veterinary,website,wheelchair,wikidata,wikipedia,building:flats,office,type,name_imogen,n_postdocs,comment
11,Agricultural Heating Station,38953058,NA,NA,Madison,US,NA,1535,NA,WI,Observatory Drive,NA,Agricultural Bulletin Building,none,NA,NA,university,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q54952767,en:Agricultural Heating Station,NA,NA,NA,NA,NA,NA
12,American Family Children's Hospital,107463303,NA,NA,Madison,NA,NA,1675,53705,NA,Highland Avenue,NA,NA,hospital,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,hospital,paediatrics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/7,University of Wisconsin Hospital and Clinics Authority,NA,NA,NA,+1 608 890 5437,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,https://www.uwhealthkids.org/,yes,Q30254156,NA,NA,NA,NA,AMERICAN FAMILY CHILDRENS HOSP,4,
13,Animal Science Building,37550805,NA,NA,Madison,NA,NA,1675,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,indianred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tan,NA,NA,flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANIMAL SCIENCE BUILDING,16,
14,Armory and Gymnasium,37804098,NA,NA,Madison,US,NA,716,NA,WI,Langdon Street,NA,Red Gym,none,NA,NA,university,darkred,6,NA,brick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,grey,NA,NA,gabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q7896625,en:University of Wisconsin Armory and Gymnasium,NA,NA,NA,NA,NA,NA
15,Art Lofts,102234779,NA,NA,NA,NA,NA,111,NA,NA,North Frances Street,NA,NA,none,NA,NA,university,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,Tanya Buckinham: map.wisc.edu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Arthur D. Hasler Laboratory of Limnology,37749302,NA,NA,Madison,NA,NA,680,NA,WI,North Park Street,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HASLER LAB OF LIMNOLOGY,4,
17,Athletic Operations Building,175344876,NA,NA,Madison,US,NA,25,53711,WI,North Breese Terrace,NA,NA,none,NA,NA,university,tan,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,indianred,NA,NA,gabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Atmospheric & Oceanic Sciences,153660089,NA,NA,Madison,US,NA,1225,NA,WI,West Dayton Street,NA,NA,none,NA,NA,university,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanya Buckinham: map.wisc.edu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATMOSPHERIC OCEANIC&SPACE SCI,9,
19,Babcock Hall,38856035,NA,NA,Madison,NA,NA,1605,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,indianred,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tan,NA,NA,flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BABCOCK HALL,10,
20,Bakke Recreation & Wellbeing Center,916831421,NA,NA,Madison,NA,NA,1976,53706,WI,Observatory Drive,NA,NA,none,NA,NA,sports_centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,sports_hall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basketball;running;swimming;ice_skating;climbing,4/24/23,NA,NA,NA,NA,NA,NA,https://recwell.wisc.edu/bakke/,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Bardeen Medical Laboratories,38855411,NA,NA,Madison,NA,NA,1215,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Barnard Residence Hall,39201162,NA,NA,Madison,US,NA,970,NA,WI,University Avenue,NA,NA,none,NA,NA,dormitory,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Bascom Hall,17672451,,,Madison,,NA,500,,WI,Lincoln Drive,NA,NA,,NA,NA,university,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,,,NA,Q109349240,NA,,,multipolygon,NA,NA,NA
24,Biotron Laboratory,37691896,NA,NA,Madison,NA,NA,2115,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Birge Hall,38855394,NA,NA,Madison,NA,NA,430,NA,WI,Bascom Mall,NA,NA,none,NA,NA,university,NA,6,NA,NA,NA,NA,NA,6/20/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIRGE HALL,1,
26,Botany Greenhouse,39201160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,6/20/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University Of Wisconsin Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Bradley Memorial Building,38855410,NA,NA,Madison,NA,NA,1225,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Bradley Residence Hall,37862321,NA,NA,Madison,US,NA,650,53706,WI,Elm Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Brogden Psychology,153063309,NA,NA,Madison,US,NA,1202,53706,WI,West Johnson Street,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOLOGY BUILDING, BROGDEN",9,
30,Carillon Tower,158973590,NA,NA,Madison,US,Carillon Tower,1160,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,tan,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,tower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Wisconsin,NA,NA,NA,NA,NA,NA,gray,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,brick,bell_tower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Carson Gulley Center,38953112,NA,NA,Madison,NA,NA,1515,53706,WI,Tripp Circle,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q5046935,en:Carson Gulley,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
