,name,osm_id,access,access:conditional,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,alt_name,amenity,artist_name,beds,building,building:colour,building:levels,building:levels:underground,building:material,building:part,building:units,capacity,check_date,check_date:opening_hours,club,drinking_water,ele,emergency,fee,fountain,gnis:feature_id,healthcare,healthcare:speciality,height,internet_access,internet_access:fee,layer,leisure,lit,man_made,maxheight,maxstay,name:en,name:etymology:wikidata,name:etymology:wikipedia,natural,note,official_name,old_name,opening_hours,operator,operator:type,orientation,parking,phone,ref:isil,roof:angle,roof:colour,roof:levels,roof:material,roof:shape,smoking,source,sport,start_date,surface,toilets:wheelchair,tourism,tower:construction,tower:type,veterinary,website,wheelchair,wikidata,wikipedia,building:flats,office,type,name_imogen,n_postdocs,comment
42,DeLuca Biochemical Sciences Building,173506603,NA,NA,NA,NA,NA,440,NA,NA,Henry Mall,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HENRY MALL,1,I picked a random building on Henry Mall
43,DeLuca Biochemistry Building,412585896,NA,NA,Madison,NA,NA,420,NA,WI,Henry Mall,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q18739425,en:DeLuca Biochemistry Building,NA,NA,NA,NA,NA,NA
44,DeLuca Biochemistry Laboratories,37516023,NA,NA,Madison,NA,NA,433,NA,WI,Babcock Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIOCHEMISTRY LABS,21,
45,Eagle Heights Community Center,36969789,NA,NA,Madison,NA,NA,611,53705,WI,Eagle Heights Drive,NA,NA,community_centre,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo,Tu,Th,Fr 08:00-18:00; We 08:00-20:00; Sa 09:30-12:30; Su off",UW-Madison,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Education Building,37751914,NA,NA,Madison,NA,NA,1000,NA,WI,Bascom Mall,NA,NA,none,NA,NA,university,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Educational Sciences,153640720,NA,NA,Madison,NA,NA,1025,NA,WI,West Johnson Street,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanya Buckinham: map.wisc.edu,NA,NA,NA,NA,NA,NA,NA,NA,http://education.wisc.edu/,NA,NA,NA,NA,NA,NA,EDUCATIONAL SCIENCES,14,
48,Engineering Centers Building,56997836,NA,NA,Madison,US,NA,1550,NA,WI,Engineering Drive,NA,NA,none,NA,NA,university,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENGINEERING CENTERS BUILDING,3,
49,Engineering Hall,56997838,NA,NA,Madison,NA,NA,1415,NA,WI,Engineering Drive,NA,NA,none,NA,NA,university,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,map.wisc.edu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENGINEERING HALL,60,
50,Engineering Mall,1056550703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Engineering Research Building,56997837,NA,NA,Madison,US,NA,1500,NA,WI,Engineering Drive,NA,NA,none,NA,NA,university,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENGINEERING RESEARCH BUILDING,11,
52,Enzyme Institute,153660095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENZYME INSTITUTE,7,
53,Extension Building,101606150,NA,NA,Madison,US,NA,432,NA,WI,North Lake Street,NA,NA,none,NA,NA,university,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Field House,175346220,NA,NA,Madison,NA,NA,1450,53711,WI,Monroe Street,NA,NA,none,NA,NA,university,tan,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sports_centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,indianred,NA,NA,gabled,NA,NA,basketball;volleyball;wrestling,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q8027171,en:Wisconsin Field House,NA,NA,NA,NA,NA,NA
55,Genetics-Biotechnology Center Building,39015620,NA,NA,Madison,US,NA,425,NA,WI,Henry Mall,NA,NA,none,NA,NA,university,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GENETICS-BIOTECHNLGY CNTR BLDG,15,
56,Gilman House,37970666,NA,NA,Madison,NA,NA,1610,NA,WI,Kronshage Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Goodnight Hall,37862323,NA,NA,Madison,NA,NA,1975,53706-1103,WI,Willow Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOODNIGHT HALL, SCOTT H",1,
58,Gordon Dining and Event Center,193492268,NA,NA,Madison,US,NA,770,NA,WI,West Dayton Street,NA,NA,none,NA,NA,university,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Grainger Hall,153060483,NA,NA,Madison,NA,NA,975,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,NA,NA,NA,1842444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS Geonames,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bus.wisc.edu/,NA,Q8027269,NA,NA,NA,NA,GRAINGER HALL,1,
60,Hamel Music Center,484383229,NA,NA,NA,NA,NA,740,NA,NA,University Avenue,NA,NA,arts_centre,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Hanson Biomedical Sciences Building,37550807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIOMEDICAL SCIENCES LAB,6,Imogen Check
62,Hanson Biomedical Sciences Building,37550807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIOCHEMICAL SCIENCES,1,Imogen Check
63,Harlow Primate Laboratory,172980982,NA,NA,Madison,US,NA,22,NA,WI,North Charter Street,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,NA,NA,NA,1842449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS Geonames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Harvey Street Apartments,3999699,,,,,NA,,,,,NA,NA,,NA,NA,apartments,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,,,NA,,NA,47,,multipolygon,NA,NA,NA
65,Health Sciences Learning Center,107463323,NA,NA,Madison,NA,NA,750,NA,WI,Highland Avenue,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,https://www.med.wisc.edu/facilities/hslc/health-sciences-learning-center/980,NA,NA,NA,NA,NA,NA,HEALTH SCIENCES LEARNING CNT,25,
66,Helen C. White Hall,37749300,NA,NA,Madison,US,NA,600,NA,WI,North Park Street,NA,NA,none,NA,NA,university,tan,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,1842452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tan,NA,NA,flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHITE HALL, HELEN C",5,
67,Hiram Smith Hall,38953056,NA,NA,Madison,US,NA,1545,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Hiram Smith Hall Annex,38953057,NA,NA,Madison,US,NA,1555,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q54952950,en:Hiram Smith Hall and Annex,NA,NA,NA,NA,NA,NA
69,Hoofers Sailing Club,1292203496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,sport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Wisconsin - Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sailing,NA,NA,NA,NA,NA,NA,NA,https://www.hoofersailing.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Horticulture,38856040,NA,NA,Madison,NA,NA,1575,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HORTICULTURE,10,
71,Humphrey Hall,38060693,NA,NA,Madison,NA,NA,640,53706,WI,Babcock Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Integrative Biology Research Building,139958463,NA,NA,NA,NA,NA,1117,NA,NA,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Jones House,37550631,NA,NA,Madison,US,NA,655,NA,WI,Elm Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Jorns Hall,38060694,NA,NA,Madison,NA,NA,650,53706,WI,Babcock Drive,NA,NA,none,NA,NA,dormitory,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Kellner Hall,175346221,NA,NA,Madison,NA,NA,1440,53711,WI,Monroe Street,NA,NA,none,NA,NA,university,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,King Hall,38953060,NA,NA,Madison,US,NA,1475,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Lathrop Hall,39201161,NA,NA,Madison,US,NA,1050,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q6495960,en:Lathrop Hall,NA,NA,NA,NA,NA,NA
78,Law Building,38855393,NA,NA,Madison,NA,NA,975,NA,WI,Bascom Mall,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q16982645,en:University of Wisconsin Madison Law Building,NA,NA,NA,LAW BUILDING,16,
79,Leopold Residence Hall,193571969,NA,NA,Madison,NA,NA,1635,53706,WI,Kronshage Drive,NA,NA,none,NA,NA,dormitory,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Livestock Laboratory,37722267,NA,NA,Madison,NA,NA,1810,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Lowell Center,102332638,NA,NA,Madison,US,NA,610,NA,WI,Langdon Street,NA,NA,none,NA,NA,dormitory,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,NA,NA,1842506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,flat,NA,USGS Geonames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Mack House,37970664,NA,NA,Madison,NA,NA,650,53706,WI,Babcock Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Máquina,295278459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fountain,William Conrad Severson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,decorative,NA,NA,NA,6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,water,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://publicart.wisc.edu/william-conrad-severson-maquina/,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Mark H Ingraham Hall,38855397,NA,NA,Madison,US,NA,1155,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Materials Science and Engineering,60320800,NA,NA,Madison,US,NA,1509,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,gabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MATERIALS SCI AND ENG BLDG,26,
86,McArdle Building,39015616,NA,NA,Madison,US,NA,1400,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,1842529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS Geonames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCARDLE BUILDING,2,
87,Meat Science and Animal Biologics Discovery,490171328,NA,NA,Madison,NA,NA,1933,NA,WI,Observatory Drive,NA,NA,none,NA,NA,university,darkred,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEAT SCI & ANML BIO DISCOVERY,1,
88,Mechanical Engineering Building,56997835,NA,NA,Madison,US,NA,1513,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MECHANICAL ENGINEERING BLDG,23,
89,Medical Sciences,172992066,NA,NA,Madison,NA,NA,NA,NA,WI,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEDICAL SCIENCES CENTER,6,
90,Medical Sciences,172992066,NA,NA,Madison,NA,NA,NA,NA,WI,NA,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEDICAL SCIENCES,5,
91,Medical Sciences Center,17672452,,,Madison,,NA,1350,,WI,University Avenue,NA,NA,,NA,NA,university,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,,,NA,,NA,,,multipolygon,NA,NA,NA
