,osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,building
175079855,175079855,Wisconsin Institutes for Medical Research,Madison,NA,NA,1111,NA,WI,Highland Avenue,university
175093436,175093436,Lot 54,NA,NA,NA,NA,NA,NA,NA,NA
175094067,175094067,NA,NA,NA,NA,NA,NA,NA,NA,NA
175094068,175094068,NA,NA,NA,NA,NA,NA,NA,NA,NA
175112238,175112238,Lot 41,NA,NA,NA,NA,NA,NA,NA,NA
175332344,175332344,Lot 120,NA,NA,NA,NA,NA,NA,NA,NA
175334815,175334815,NA,NA,NA,NA,NA,NA,NA,NA,NA
175344876,175344876,Athletic Operations Building,Madison,US,NA,25,53711,WI,North Breese Terrace,university
175346220,175346220,Field House,Madison,NA,NA,1450,53711,WI,Monroe Street,university
175346221,175346221,Kellner Hall,Madison,NA,NA,1440,53711,WI,Monroe Street,university
175453744,175453744,Lot 28,NA,NA,NA,NA,NA,NA,NA,NA
193490363,193490363,Wisconsin Energy Institute,Madison,US,NA,1552,NA,WI,University Avenue,university
193492268,193492268,Gordon Dining and Event Center,Madison,US,NA,770,NA,WI,West Dayton Street,university
193571969,193571969,Leopold Residence Hall,Madison,NA,NA,1635,53706,WI,Kronshage Drive,dormitory
232691020,232691020,Lot 45,NA,NA,NA,NA,NA,NA,NA,NA
295278459,295278459,Máquina,NA,NA,NA,NA,NA,NA,NA,NA
295601556,295601556,NA,NA,NA,NA,NA,NA,NA,NA,university
295708135,295708135,Chazen Museum of Art,Madison,US,NA,750,NA,WI,University Avenue,university
299403520,299403520,NA,NA,NA,NA,NA,NA,NA,NA,NA
299403522,299403522,502 Herrick Dr.,Madison,NA,NA,502,NA,WI,Herrick Drive,university
300841474,300841474,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841476,300841476,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841478,300841478,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841480,300841480,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841482,300841482,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841484,300841484,NA,NA,NA,NA,NA,NA,NA,NA,NA
300841486,300841486,NA,NA,NA,NA,NA,NA,NA,NA,NA
343102925,343102925,NA,NA,NA,NA,NA,NA,NA,NA,university
343102926,343102926,NA,NA,NA,NA,NA,NA,NA,NA,university
343102927,343102927,NA,NA,NA,NA,NA,NA,NA,NA,university
412585896,412585896,DeLuca Biochemistry Building,Madison,NA,NA,420,NA,WI,Henry Mall,university
412587482,412587482,NA,NA,NA,NA,9,NA,NA,University Houses,apartments
412587483,412587483,NA,NA,NA,NA,35,NA,NA,University Houses,apartments
412587484,412587484,NA,NA,NA,NA,10,NA,NA,University Houses,apartments
412587485,412587485,NA,NA,NA,NA,5,NA,NA,University Houses,apartments
412587486,412587486,NA,NA,NA,NA,3,NA,NA,University Houses,apartments
412587488,412587488,NA,NA,NA,NA,33,NA,NA,University Houses,apartments
412587489,412587489,NA,NA,NA,NA,7,NA,NA,University Houses,apartments
412587490,412587490,NA,NA,NA,NA,37,NA,NA,University Houses,apartments
484383229,484383229,Hamel Music Center,NA,NA,NA,740,NA,NA,University Avenue,university
490171328,490171328,Meat Science and Animal Biologics Discovery,Madison,NA,NA,1933,NA,WI,Observatory Drive,university
534600247,534600247,Lot 14,NA,NA,NA,NA,NA,NA,NA,NA
870590630,870590630,Veterans Administration Hospital,Madison,NA,NA,2500,NA,WI,Overlook Terrace,hospital
870590639,870590639,UW Health University Hospital,Madison,NA,NA,600,53792,WI,Highland Avenue,hospital
878819595,878819595,Van Hise Hall,NA,NA,NA,NA,NA,NA,NA,NA
916831421,916831421,Bakke Recreation & Wellbeing Center,Madison,NA,NA,1976,53706,WI,Observatory Drive,sports_centre
977911101,977911101,NA,NA,NA,NA,NA,NA,NA,NA,NA
977911102,977911102,NA,NA,NA,NA,NA,NA,NA,NA,NA
977911103,977911103,NA,NA,NA,NA,NA,NA,NA,NA,NA
977911104,977911104,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000383053,1000383053,Nicholas Recreation Center,Madison,NA,NA,797,53706,WI,West Dayton Street,university
1002143306,1002143306,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036447764,1036447764,Lakeshore Nature Preserve,NA,NA,NA,NA,NA,NA,NA,NA
1056550703,1056550703,Engineering Mall,NA,NA,NA,NA,NA,NA,NA,NA
1175821892,1175821892,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289164170,1289164170,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289164192,1289164192,NA,NA,NA,NA,NA,NA,NA,NA,NA
1292203496,1292203496,Hoofers Sailing Club,NA,NA,NA,NA,NA,NA,NA,university
1300131684,1300131684,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305074709,1305074709,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071317,2071317,Weeks Hall for Geological Sciences,Madison,,NA,1215,,WI,West Dayton Street,university
2075103,2075103,Mosse Humanities Building,Madison,US,NA,455,,WI,North Park Street,university
2335674,2335674,Lot 60,,,NA,,,,,
2339605,2339605,Lot 81,,,NA,,,,,
3875653,3875653,Lot 26,,,NA,,,,,
3875654,3875654,Lot 39,,,NA,,,,,
3979952,3979952,Cereal Crops Research Unit,Madison,,NA,502,,WI,Walnut street,university
3999699,3999699,Harvey Street Apartments,,,NA,,,,,apartments
13147836,13147836,Lot 34,,,NA,,,,,
13436948,13436948,Lot 41,,,NA,,,,,parking
13940426,13940426,Lot 82,,,NA,,,,,
13940463,13940463,Lot 37,,,NA,,,,,
13940471,13940471,Lot 59,,,NA,,,,,
17672451,17672451,Bascom Hall,Madison,,NA,500,,WI,Lincoln Drive,university
17672452,17672452,Medical Sciences Center,Madison,,NA,1350,,WI,University Avenue,university
17899257,17899257,Veterinary Medicine North,Madison,,NA,515,53706,WI,Easterday Lane,university
18793475,18793475,University Club,Madison,,NA,803;432,53703,WI,State Street;East Campus Mall,yes;retail
18849422,18849422,Conrad A. Elvehjem Building,Madison,US,NA,800,,WI,University Avenue,university
